name,movie_title
CCH Pounder,Avatar
Joel David Moore,Avatar
Wes Studi,Avatar
Johnny Depp,Pirates of the Caribbean: At World's End
Orlando Bloom,Pirates of the Caribbean: At World's End
Jack Davenport,Pirates of the Caribbean: At World's End
Christoph Waltz,Spectre
Rory Kinnear,Spectre
Stephanie Sigman,Spectre
Tom Hardy,The Dark Knight Rises
Christian Bale,The Dark Knight Rises
Joseph Gordon-Levitt,The Dark Knight Rises
Daryl Sabara,John Carter
Samantha Morton,John Carter
Polly Walker,John Carter
J.K. Simmons,Spider-Man 3
James Franco,Spider-Man 3
Kirsten Dunst,Spider-Man 3
Brad Garrett,Tangled
Donna Murphy,Tangled
M.C. Gainey,Tangled
Chris Hemsworth,Avengers: Age of Ultron
Robert Downey Jr.,Avengers: Age of Ultron
Scarlett Johansson,Avengers: Age of Ultron
Alan Rickman,Harry Potter and the Half-Blood Prince
Daniel Radcliffe,Harry Potter and the Half-Blood Prince
Rupert Grint,Harry Potter and the Half-Blood Prince
Henry Cavill,Batman v Superman: Dawn of Justice
Lauren Cohan,Batman v Superman: Dawn of Justice
Alan D. Purwin,Batman v Superman: Dawn of Justice
Kevin Spacey,Superman Returns
Marlon Brando,Superman Returns
Frank Langella,Superman Returns
Giancarlo Giannini,Quantum of Solace
Mathieu Amalric,Quantum of Solace
Rory Kinnear,Quantum of Solace
Johnny Depp,Pirates of the Caribbean: Dead Man's Chest
Orlando Bloom,Pirates of the Caribbean: Dead Man's Chest
Jack Davenport,Pirates of the Caribbean: Dead Man's Chest
Johnny Depp,The Lone Ranger
Ruth Wilson,The Lone Ranger
Tom Wilkinson,The Lone Ranger
Henry Cavill,Man of Steel
Christopher Meloni,Man of Steel
Harry Lennix,Man of Steel
Peter Dinklage,The Chronicles of Narnia: Prince Caspian
Pierfrancesco Favino,The Chronicles of Narnia: Prince Caspian
Damián Alcázar,The Chronicles of Narnia: Prince Caspian
Chris Hemsworth,The Avengers
Robert Downey Jr.,The Avengers
Scarlett Johansson,The Avengers
Johnny Depp,Pirates of the Caribbean: On Stranger Tides
Sam Claflin,Pirates of the Caribbean: On Stranger Tides
Stephen Graham,Pirates of the Caribbean: On Stranger Tides
Will Smith,Men in Black 3
Michael Stuhlbarg,Men in Black 3
Nicole Scherzinger,Men in Black 3
Aidan Turner,The Hobbit: The Battle of the Five Armies
Adam Brown,The Hobbit: The Battle of the Five Armies
James Nesbitt,The Hobbit: The Battle of the Five Armies
Emma Stone,The Amazing Spider-Man
Andrew Garfield,The Amazing Spider-Man
Chris Zylka,The Amazing Spider-Man
Mark Addy,Robin Hood
William Hurt,Robin Hood
Scott Grimes,Robin Hood
Aidan Turner,The Hobbit: The Desolation of Smaug
Adam Brown,The Hobbit: The Desolation of Smaug
