actor_name,numfacebooklikes
CCH Pounder,1000.0
Joel David Moore,936.0
Wes Studi,855.0
Johnny Depp,40000.0
Orlando Bloom,5000.0
Jack Davenport,1000.0
Christoph Waltz,11000.0
Rory Kinnear,393.0
Stephanie Sigman,161.0
Tom Hardy,27000.0
Christian Bale,23000.0
Joseph Gordon-Levitt,23000.0
Daryl Sabara,640.0
Samantha Morton,632.0
Polly Walker,530.0
J.K. Simmons,24000.0
James Franco,11000.0
Kirsten Dunst,4000.0
Brad Garrett,799.0
Donna Murphy,553.0
M.C. Gainey,284.0
Chris Hemsworth,26000.0
Robert Downey Jr.,21000.0
Scarlett Johansson,19000.0
Alan Rickman,25000.0
Daniel Radcliffe,11000.0
Rupert Grint,10000.0
Henry Cavill,15000.0
Lauren Cohan,4000.0
Alan D. Purwin,2000.0
Kevin Spacey,18000.0
Marlon Brando,10000.0
Frank Langella,903.0
Giancarlo Giannini,451.0
Mathieu Amalric,412.0
Ruth Wilson,2000.0
Tom Wilkinson,1000.0
Christopher Meloni,3000.0
Harry Lennix,748.0
Peter Dinklage,22000.0
Pierfrancesco Favino,216.0
Damián Alcázar,201.0
Sam Claflin,11000.0
Stephen Graham,1000.0
Will Smith,10000.0
Michael Stuhlbarg,816.0
Nicole Scherzinger,718.0
Aidan Turner,5000.0
Adam Brown,972.0
James Nesbitt,773.0
Emma Stone,15000.0
Andrew Garfield,10000.0
Chris Zylka,963.0
Mark Addy,891.0
William Hurt,882.0
Scott Grimes,738.0
Christopher Lee,16000.0
Eva Green,6000.0
Kristin Scott Thomas,1000.0
Naomi Watts,6000.0
Thomas Kretschmann,919.0
Evan Parke,84.0
Leonardo DiCaprio,29000.0
Kate Winslet,14000.0
Gloria Stuart,794.0
Chris Evans,11000.0
Liam Neeson,14000.0
Alexander Skarsgård,10000.0
Tadanobu Asano,627.0
Bryce Dallas Howard,3000.0
Judy Greer,2000.0
Omar Sy,1000.0
Albert Finney,883.0
Helen McCrory,563.0
Jon Favreau,4000.0
Don Cheadle,3000.0
Anne Hathaway,11000.0
Hugh Jackman,20000.0
Kelsey Grammer,808.0
Daniel Cudmore,560.0
Steve Buscemi,12000.0
Tyler Labine,779.0
Sean Hayes,760.0
Glenn Morshower,894.0
Kevin Dunn,581.0
Ramon Rodriguez,464.0
Bingbing Li,974.0
Sophia Myles,956.0
Tim Holmes,44000.0
Mila Kunis,15000.0
B.J. Novak,825.0
Jeff Bridges,12000.0
Olivia Wilde,10000.0
James Frain,1000.0
Joe Mantegna,1000.0
Eddie Izzard,776.0
Ryan Reynolds,16000.0
Temuera Morrison,368.0
Taika Waititi,326.0
Tom Hanks,15000.0
John Ratzenberger,1000.0
Don Rickles,721.0
Common,988.0
Jason Statham,26000.0
Paul Walker,23000.0
Vin Diesel,14000.0
Peter Capaldi,17000.0
Brad Pitt,11000.0
Mireille Enos,1000.0
Jennifer Lawrence,34000.0
