title,year,duration,budget,gross,rating,language,country,numfacebooklikes
Avatar,2009,178.0,237000000.0,760505847.0,PG-13,English,USA,33000
Pirates of the Caribbean: At World's End,2007,169.0,300000000.0,309404152.0,PG-13,English,USA,0
Spectre,2015,148.0,245000000.0,200074175.0,PG-13,English,UK,85000
The Dark Knight Rises,2012,164.0,250000000.0,448130642.0,PG-13,English,USA,164000
John Carter,2012,132.0,263700000.0,73058679.0,PG-13,English,USA,24000
Spider-Man 3,2007,156.0,258000000.0,336530303.0,PG-13,English,USA,0
Tangled,2010,100.0,260000000.0,200807262.0,PG,English,USA,29000
Avengers: Age of Ultron,2015,141.0,250000000.0,458991599.0,PG-13,English,USA,118000
Harry Potter and the Half-Blood Prince,2009,153.0,250000000.0,301956980.0,PG,English,UK,10000
Batman v Superman: Dawn of Justice,2016,183.0,250000000.0,330249062.0,PG-13,English,USA,197000
Superman Returns,2006,169.0,209000000.0,200069408.0,PG-13,English,USA,0
Quantum of Solace,2008,106.0,200000000.0,168368427.0,PG-13,English,UK,0
Pirates of the Caribbean: Dead Man's Chest,2006,151.0,225000000.0,423032628.0,PG-13,English,USA,5000
The Lone Ranger,2013,150.0,215000000.0,89289910.0,PG-13,English,USA,48000
Man of Steel,2013,143.0,225000000.0,291021565.0,PG-13,English,USA,118000
The Chronicles of Narnia: Prince Caspian,2008,150.0,225000000.0,141614023.0,PG,English,USA,0
The Avengers,2012,173.0,220000000.0,623279547.0,PG-13,English,USA,123000
Pirates of the Caribbean: On Stranger Tides,2011,136.0,250000000.0,241063875.0,PG-13,English,USA,58000
Men in Black 3,2012,106.0,225000000.0,179020854.0,PG-13,English,USA,40000
The Hobbit: The Battle of the Five Armies,2014,164.0,250000000.0,255108370.0,PG-13,English,New Zealand,65000
The Amazing Spider-Man,2012,153.0,230000000.0,262030663.0,PG-13,English,USA,56000
Robin Hood,2010,156.0,200000000.0,105219735.0,PG-13,English,USA,17000
The Hobbit: The Desolation of Smaug,2013,186.0,225000000.0,258355354.0,PG-13,English,USA,83000
The Golden Compass,2007,113.0,180000000.0,70083519.0,PG-13,English,USA,0
King Kong,2005,201.0,207000000.0,218051260.0,PG-13,English,New Zealand,0
Titanic,1997,194.0,200000000.0,658672302.0,PG-13,English,USA,26000
Captain America: Civil War,2016,147.0,250000000.0,407197282.0,PG-13,English,USA,72000
Battleship,2012,131.0,209000000.0,65173160.0,PG-13,English,USA,44000
Jurassic World,2015,124.0,150000000.0,652177271.0,PG-13,English,USA,150000
Skyfall,2012,143.0,200000000.0,304360277.0,PG-13,English,UK,80000
Spider-Man 2,2004,135.0,200000000.0,373377893.0,PG-13,English,USA,0
Iron Man 3,2013,195.0,200000000.0,408992272.0,PG-13,English,USA,95000
Alice in Wonderland,2010,108.0,200000000.0,334185206.0,PG,English,USA,24000
X-Men: The Last Stand,2006,104.0,210000000.0,234360014.0,PG-13,English,Canada,0
Monsters University,2013,104.0,200000000.0,268488329.0,G,English,USA,44000
Transformers: Revenge of the Fallen,2009,150.0,200000000.0,402076689.0,PG-13,English,USA,0
Transformers: Age of Extinction,2014,165.0,210000000.0,245428137.0,PG-13,English,USA,56000
Oz the Great and Powerful,2013,130.0,215000000.0,234903076.0,PG,English,USA,60000
The Amazing Spider-Man 2,2014,142.0,200000000.0,202853933.0,PG-13,English,USA,41000
TRON: Legacy,2010,125.0,170000000.0,172051787.0,PG,English,USA,30000
Cars 2,2011,106.0,200000000.0,191450875.0,G,English,USA,10000
Green Lantern,2011,123.0,200000000.0,116593191.0,PG-13,English,USA,24000
Toy Story 3,2010,103.0,200000000.0,414984497.0,G,English,USA,30000
Terminator Salvation,2009,118.0,200000000.0,125320003.0,PG-13,English,USA,0
Furious 7,2015,140.0,190000000.0,350034110.0,PG-13,English,USA,94000
World War Z,2013,123.0,190000000.0,202351611.0,PG-13,English,USA,129000
X-Men: Days of Future Past,2014,149.0,200000000.0,233914986.0,PG-13,English,USA,82000
Star Trek Into Darkness,2013,132.0,190000000.0,228756232.0,PG-13,English,USA,92000
Jack the Giant Slayer,2013,114.0,195000000.0,65171860.0,PG-13,English,USA,22000
The Great Gatsby,2013,143.0,105000000.0,144812796.0,PG-13,English,Australia,115000
Prince of Persia: The Sands of Time,2010,116.0,200000000.0,90755643.0,PG-13,English,USA,23000
Pacific Rim,2013,131.0,190000000.0,101785482.0,PG-13,English,USA,83000
Transformers: Dark of the Moon,2011,154.0,195000000.0,352358779.0,PG-13,English,USA,46000
Indiana Jones and the Kingdom of the Crystal Skull,2008,122.0,185000000.0,317011114.0,PG-13,English,USA,5000
The Good Dinosaur,2015,93.0,,123070338.0,PG,English,USA,20000
Brave,2012,93.0,185000000.0,237282182.0,PG,English,USA,39000
Star Trek Beyond,2016,122.0,185000000.0,130468626.0,PG-13,English,USA,30000
WALL·E,2008,98.0,180000000.0,223806889.0,G,English,USA,16000
Rush Hour 3,2007,91.0,140000000.0,140080850.0,PG-13,English,USA,0
2012,2009,158.0,200000000.0,166112167.0,PG-13,English,USA,13000
A Christmas Carol,2009,96.0,200000000.0,137850096.0,PG,English,USA,0
Jupiter Ascending,2015,127.0,176000000.0,47375327.0,PG-13,English,USA,44000
The Legend of Tarzan,2016,110.0,180000000.0,124051759.0,PG-13,English,USA,29000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,150.0,180000000.0,291709845.0,PG,English,USA,0
X-Men: Apocalypse,2016,144.0,178000000.0,154985087.0,PG-13,English,USA,54000
The Dark Knight,2008,152.0,185000000.0,533316061.0,PG-13,English,USA,37000
Up,2009,96.0,175000000.0,292979556.0,PG,English,USA,27000
Monsters vs. Aliens,2009,94.0,175000000.0,198332128.0,PG,English,USA,0
Iron Man,2008,126.0,140000000.0,318298180.0,PG-13,English,USA,10000
Hugo,2011,126.0,170000000.0,73820094.0,PG,English,USA,42000
Wild Wild West,1999,106.0,170000000.0,113745408.0,PG-13,English,USA,0
The Mummy: Tomb of the Dragon Emperor,2008,112.0,145000000.0,102176165.0,PG-13,English,USA,0
Suicide Squad,2016,123.0,175000000.0,161087183.0,PG-13,English,USA,80000
Evan Almighty,2007,96.0,175000000.0,100289690.0,PG,English,USA,2000
Edge of Tomorrow,2014,113.0,178000000.0,100189501.0,PG-13,English,USA,77000
Waterworld,1995,176.0,175000000.0,88246220.0,PG-13,English,USA,0
G.I. Joe: The Rise of Cobra,2009,118.0,175000000.0,150167630.0,PG-13,English,USA,0
Inside Out,2015,95.0,175000000.0,356454367.0,PG,English,USA,118000
The Jungle Book,2016,106.0,175000000.0,362645141.0,PG,English,UK,65000
Iron Man 2,2010,124.0,200000000.0,312057433.0,PG-13,English,USA,18000
Snow White and the Huntsman,2012,132.0,170000000.0,155111815.0,PG-13,English,USA,53000
Maleficent,2014,97.0,180000000.0,241407328.0,PG,English,USA,89000
Dawn of the Planet of the Apes,2014,130.0,170000000.0,208543795.0,PG-13,English,USA,45000
The Lovers,2015,109.0,,,R,English,Belgium,677
47 Ronin,2013,128.0,175000000.0,38297305.0,PG-13,English,USA,35000
Captain America: The Winter Soldier,2014,136.0,170000000.0,259746958.0,PG-13,English,USA,55000
Shrek Forever After,2010,93.0,165000000.0,238371987.0,PG,English,USA,0
Tomorrowland,2015,130.0,190000000.0,93417865.0,PG,English,USA,37000
Big Hero 6,2014,102.0,165000000.0,222487711.0,PG,English,USA,41000
Wreck-It Ralph,2012,101.0,165000000.0,189412677.0,PG,English,USA,40000
The Polar Express,2004,100.0,165000000.0,665426.0,G,English,USA,10000
Independence Day: Resurgence,2016,120.0,165000000.0,102315545.0,PG-13,English,USA,67000
How to Train Your Dragon,2010,98.0,165000000.0,217387997.0,PG,English,USA,33000
Terminator 3: Rise of the Machines,2003,109.0,200000000.0,150350192.0,R,English,USA,0
Guardians of the Galaxy,2014,121.0,170000000.0,333130696.0,PG-13,English,USA,96000
Interstellar,2014,169.0,165000000.0,187991439.0,PG-13,English,USA,349000
Inception,2010,148.0,160000000.0,292568851.0,PG-13,English,USA,175000
Godzilla Resurgence,2016,120.0,,,,Japanese,Japan,0
The Hobbit: An Unexpected Journey,2012,182.0,180000000.0,303001229.0,PG-13,English,USA,166000
The Fast and the Furious,2001,106.0,38000000.0,144512310.0,PG-13,English,USA,14000
The Curious Case of Benjamin Button,2008,166.0,150000000.0,127490802.0,PG-13,English,USA,23000
X-Men: First Class,2011,132.0,160000000.0,146405371.0,PG-13,English,USA,54000
The Hunger Games: Mockingjay - Part 2,2015,137.0,160000000.0,281666058.0,PG-13,English,USA,38000
The Sorcerer's Apprentice,2010,109.0,150000000.0,63143812.0,PG,English,USA,11000
Poseidon,2006,98.0,160000000.0,60655503.0,PG-13,English,USA,0
Alice Through the Looking Glass,2016,113.0,170000000.0,76846624.0,PG,English,USA,30000
Shrek the Third,2007,93.0,160000000.0,320706665.0,PG,English,USA,0
Warcraft,2016,123.0,160000000.0,46978995.0,PG-13,English,USA,89000
Terminator Genisys,2015,126.0,155000000.0,89732035.0,PG-13,English,USA,82000
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,155000000.0,104383624.0,PG,English,USA,11000
Pearl Harbor,2001,184.0,140000000.0,198539855.0,PG-13,English,USA,0
Transformers,2007,144.0,150000000.0,318759914.0,PG-13,English,USA,8000
Alexander,2004,206.0,155000000.0,34293771.0,R,English,Germany,0
Harry Potter and the Order of the Phoenix,2007,138.0,150000000.0,292000866.0,PG-13,English,UK,0
Harry Potter and the Goblet of Fire,2005,157.0,150000000.0,289994397.0,PG-13,English,UK,0
Hancock,2008,102.0,150000000.0,227946274.0,PG-13,English,USA,0
I Am Legend,2007,104.0,150000000.0,256386216.0,PG-13,English,USA,11000
Charlie and the Chocolate Factory,2005,115.0,150000000.0,206456431.0,PG,English,USA,0
Ratatouille,2007,111.0,150000000.0,206435493.0,G,English,USA,10000
Batman Begins,2005,128.0,150000000.0,205343774.0,PG-13,English,USA,15000
Madagascar: Escape 2 Africa,2008,89.0,150000000.0,179982968.0,PG,English,USA,0
Night at the Museum: Battle of the Smithsonian,2009,105.0,150000000.0,177243721.0,PG,English,USA,2000
X-Men Origins: Wolverine,2009,119.0,150000000.0,179883016.0,PG-13,English,USA,0
The Matrix Revolutions,2003,129.0,150000000.0,139259759.0,R,English,Australia,0
Frozen,2013,102.0,150000000.0,400736600.0,PG,English,USA,58000
The Matrix Reloaded,2003,138.0,150000000.0,281492479.0,R,English,USA,0
Thor: The Dark World,2013,112.0,170000000.0,206360018.0,PG-13,English,USA,63000
Mad Max: Fury Road,2015,120.0,150000000.0,153629485.0,R,English,Australia,191000
Angels & Demons,2009,146.0,150000000.0,133375846.0,PG-13,English,USA,0
Thor,2011,115.0,150000000.0,181015141.0,PG-13,English,USA,63000
Bolt,2008,96.0,150000000.0,114053579.0,PG,English,USA,0
G-Force,2009,88.0,150000000.0,119420252.0,PG,English,USA,0
Wrath of the Titans,2012,99.0,150000000.0,83640426.0,PG-13,English,USA,19000
Dark Shadows,2012,113.0,100000000.0,79711678.0,PG-13,English,USA,82000
Mission: Impossible - Rogue Nation,2015,131.0,150000000.0,195000874.0,PG-13,English,China,47000
The Wolfman,2010,119.0,150000000.0,61937495.0,R,English,USA,0
Bee Movie,2007,91.0,150000000.0,126597121.0,PG,English,USA,0
Kung Fu Panda 2,2011,90.0,150000000.0,165230261.0,PG,English,USA,20000
The Last Airbender,2010,103.0,150000000.0,131564731.0,PG,English,USA,18000
Mission: Impossible III,2006,124.0,150000000.0,133382309.0,PG-13,English,USA,0
White House Down,2013,131.0,150000000.0,73103784.0,PG-13,English,USA,33000
Mars Needs Moms,2011,88.0,150000000.0,21379315.0,PG,English,USA,0
Flushed Away,2006,85.0,149000000.0,64459316.0,PG,English,UK,0
Pan,2015,111.0,150000000.0,34964818.0,PG,English,USA,24000
Mr. Peabody & Sherman,2014,92.0,145000000.0,111505642.0,PG,English,USA,11000
Troy,2004,196.0,175000000.0,133228348.0,R,English,USA,0
Madagascar 3: Europe's Most Wanted,2012,93.0,145000000.0,216366733.0,PG,English,USA,17000
Die Another Day,2002,133.0,142000000.0,160201106.0,PG-13,English,UK,0
Ghostbusters,2016,116.0,144000000.0,118099659.0,PG-13,English,USA,62000
Armageddon,1998,153.0,140000000.0,201573391.0,PG-13,English,USA,11000
Men in Black II,2002,88.0,140000000.0,190418803.0,PG-13,English,USA,2000
Beowulf,2007,115.0,150000000.0,82161969.0,PG-13,English,USA,3000
Kung Fu Panda 3,2016,95.0,145000000.0,143523463.0,PG,English,USA,24000
Mission: Impossible - Ghost Protocol,2011,133.0,145000000.0,209364921.0,PG-13,English,USA,35000
Rise of the Guardians,2012,97.0,145000000.0,103400692.0,PG,English,USA,25000
Fun with Dick and Jane,2005,90.0,100000000.0,110332737.0,PG-13,English,USA,2000
The Last Samurai,2003,154.0,140000000.0,111110575.0,R,English,USA,0
Exodus: Gods and Kings,2014,150.0,140000000.0,65007045.0,PG-13,English,UK,51000
Star Trek,2009,127.0,150000000.0,257704099.0,PG-13,English,USA,19000
Spider-Man,2002,121.0,139000000.0,403706375.0,PG-13,English,USA,5000
How to Train Your Dragon 2,2014,102.0,145000000.0,176997107.0,PG,English,USA,46000
Gods of Egypt,2016,126.0,140000000.0,31141074.0,PG-13,English,USA,24000
Stealth,2005,121.0,135000000.0,31704416.0,PG-13,English,USA,0
Watchmen,2009,215.0,130000000.0,107503316.0,R,English,USA,18000
Lethal Weapon 4,1998,127.0,140000000.0,129734803.0,R,English,USA,0
Hulk,2003,138.0,137000000.0,132122995.0,PG-13,English,USA,0
G.I. Joe: Retaliation,2013,122.0,130000000.0,122512052.0,PG-13,English,USA,42000
Sahara,2005,124.0,130000000.0,68642452.0,PG-13,English,UK,0
Final Fantasy: The Spirits Within,2001,106.0,137000000.0,32131830.0,PG-13,English,USA,0
Captain America: The First Avenger,2011,124.0,140000000.0,176636816.0,PG-13,English,USA,46000
The World Is Not Enough,1999,128.0,135000000.0,126930660.0,PG-13,English,UK,2000
Master and Commander: The Far Side of the World,2003,138.0,150000000.0,93926386.0,PG-13,English,USA,0
The Twilight Saga: Breaking Dawn - Part 2,2012,115.0,120000000.0,292298923.0,PG-13,English,USA,65000
Happy Feet 2,2011,100.0,135000000.0,63992328.0,PG,English,Australia,0
The Incredible Hulk,2008,135.0,150000000.0,134518390.0,PG-13,English,USA,0
The BFG,2016,117.0,140000000.0,52792307.0,PG,English,UK,27000
The Revenant,2015,156.0,135000000.0,183635922.0,R,English,USA,190000
Turbo,2013,96.0,135000000.0,83024900.0,PG,English,USA,13000
Rango,2011,107.0,135000000.0,123207194.0,PG,English,USA,26000
Penguins of Madagascar,2014,92.0,132000000.0,83348920.0,PG,English,USA,11000
The Bourne Ultimatum,2007,115.0,110000000.0,227137090.0,PG-13,English,USA,0
