movie_title,numreviews,imdb_score
Avatar,723.0,7.9
Pirates of the Caribbean: At World's End,302.0,7.1
Spectre,602.0,6.8
The Dark Knight Rises,813.0,8.5
John Carter,462.0,6.6
Spider-Man 3,392.0,6.2
Tangled,324.0,7.8
Avengers: Age of Ultron,635.0,7.5
Harry Potter and the Half-Blood Prince,375.0,7.5
Batman v Superman: Dawn of Justice,673.0,6.9
Superman Returns,434.0,6.1
Quantum of Solace,403.0,6.7
Pirates of the Caribbean: Dead Man's Chest,313.0,7.3
The Lone Ranger,450.0,6.5
Man of Steel,733.0,7.2
The Chronicles of Narnia: Prince Caspian,258.0,6.6
The Avengers,703.0,8.1
Pirates of the Caribbean: On Stranger Tides,448.0,6.7
Men in Black 3,451.0,6.8
The Hobbit: The Battle of the Five Armies,422.0,7.5
The Amazing Spider-Man,599.0,7.0
Robin Hood,343.0,6.7
The Hobbit: The Desolation of Smaug,509.0,7.9
The Golden Compass,251.0,6.1
King Kong,446.0,7.2
Titanic,315.0,7.7
Captain America: Civil War,516.0,8.2
Battleship,377.0,5.9
Jurassic World,644.0,7.0
Skyfall,750.0,7.8
Spider-Man 2,300.0,7.3
Iron Man 3,608.0,7.2
Alice in Wonderland,451.0,6.5
X-Men: The Last Stand,334.0,6.8
Monsters University,376.0,7.3
Transformers: Revenge of the Fallen,366.0,6.0
Transformers: Age of Extinction,378.0,5.7
Oz the Great and Powerful,525.0,6.4
The Amazing Spider-Man 2,495.0,6.7
TRON: Legacy,469.0,6.8
Cars 2,304.0,6.3
Green Lantern,436.0,5.6
Toy Story 3,453.0,8.3
Terminator Salvation,422.0,6.6
Furious 7,424.0,7.2
World War Z,654.0,7.0
X-Men: Days of Future Past,539.0,8.0
Star Trek Into Darkness,590.0,7.8
Jack the Giant Slayer,338.0,6.3
The Great Gatsby,490.0,7.3
Prince of Persia: The Sands of Time,306.0,6.6
Pacific Rim,575.0,7.0
Transformers: Dark of the Moon,428.0,6.3
Indiana Jones and the Kingdom of the Crystal Skull,470.0,6.2
The Good Dinosaur,298.0,6.8
Brave,488.0,7.2
Star Trek Beyond,322.0,7.5
WALL·E,421.0,8.4
Rush Hour 3,162.0,6.2
2012,367.0,5.8
A Christmas Carol,240.0,6.8
Jupiter Ascending,384.0,5.4
The Legend of Tarzan,248.0,6.6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",284.0,6.9
X-Men: Apocalypse,396.0,7.3
The Dark Knight,645.0,9.0
Up,408.0,8.3
Monsters vs. Aliens,219.0,6.5
Iron Man,486.0,7.9
Hugo,682.0,7.5
Wild Wild West,85.0,4.8
The Mummy: Tomb of the Dragon Emperor,264.0,5.2
Suicide Squad,418.0,6.9
Evan Almighty,186.0,5.4
Edge of Tomorrow,585.0,7.9
Waterworld,91.0,6.1
G.I. Joe: The Rise of Cobra,250.0,5.8
Inside Out,536.0,8.3
The Jungle Book,370.0,7.8
Iron Man 2,453.0,7.0
Snow White and the Huntsman,416.0,6.1
Maleficent,401.0,7.0
Dawn of the Planet of the Apes,521.0,7.6
The Lovers,10.0,4.5
47 Ronin,218.0,6.3
Captain America: The Winter Soldier,576.0,7.8
Shrek Forever After,226.0,6.4
Tomorrowland,443.0,6.5
Big Hero 6,384.0,7.9
Wreck-It Ralph,377.0,7.8
The Polar Express,188.0,6.6
Independence Day: Resurgence,286.0,5.5
How to Train Your Dragon,288.0,8.2
Terminator 3: Rise of the Machines,280.0,6.4
Guardians of the Galaxy,653.0,8.1
Interstellar,712.0,8.6
Inception,642.0,8.8
Godzilla Resurgence,1.0,8.2
The Hobbit: An Unexpected Journey,645.0,7.9
The Fast and the Furious,187.0,6.7
The Curious Case of Benjamin Button,362.0,7.8
X-Men: First Class,500.0,7.8
The Hunger Games: Mockingjay - Part 2,389.0,6.6
The Sorcerer's Apprentice,235.0,6.1
Poseidon,231.0,5.6
Alice Through the Looking Glass,218.0,6.4
Shrek the Third,227.0,6.1
Warcraft,275.0,7.3
Terminator Genisys,474.0,6.6
The Chronicles of Narnia: The Voyage of the Dawn Treader,228.0,6.3
Pearl Harbor,191.0,6.1
Transformers,396.0,7.1
Alexander,248.0,5.5
Harry Potter and the Order of the Phoenix,329.0,7.5
Harry Potter and the Goblet of Fire,295.0,7.6
Hancock,318.0,6.4
I Am Legend,323.0,7.2
Charlie and the Chocolate Factory,276.0,6.7
Ratatouille,318.0,8.0
Batman Begins,478.0,8.3
Madagascar: Escape 2 Africa,167.0,6.7
Night at the Museum: Battle of the Smithsonian,185.0,5.9
X-Men Origins: Wolverine,350.0,6.7
The Matrix Revolutions,245.0,6.7
Frozen,406.0,7.6
The Matrix Reloaded,275.0,7.2
Thor: The Dark World,486.0,7.1
Mad Max: Fury Road,739.0,8.1
Angels & Demons,298.0,6.7
Thor,516.0,7.0
Bolt,225.0,6.9
G-Force,145.0,5.1
Wrath of the Titans,310.0,5.8
Dark Shadows,526.0,6.2
Mission: Impossible - Rogue Nation,465.0,7.4
The Wolfman,357.0,5.8
Bee Movie,194.0,6.2
Kung Fu Panda 2,284.0,7.3
The Last Airbender,280.0,4.2
Mission: Impossible III,310.0,6.9
White House Down,339.0,6.4
Mars Needs Moms,132.0,5.4
Flushed Away,135.0,6.7
Pan,256.0,5.8
Mr. Peabody & Sherman,196.0,6.9
Troy,220.0,7.2
Madagascar 3: Europe's Most Wanted,211.0,6.9
Die Another Day,264.0,6.1
